Date,Type,Category,Description,Amount,Status,Notes
2026-02-13,Revenue,Product Sales,"Online store sales",8500,Completed,"Stripe payments"
2026-02-13,Revenue,Services,"Consulting services",2950,Invoiced,"NET30"
2026-02-13,Revenue,Subscriptions,"Monthly subscriptions",1000,Completed,"Recurring"
2026-02-13,Expense,Operations,"AWS hosting costs",1200,Paid,"Monthly bill"
2026-02-13,Expense,Operations,"Software licenses",450,Paid,"Adobe, GitHub"
2026-02-13,Expense,Operations,"Office supplies",180,Paid,"Amazon Business"
2026-02-13,Expense,Marketing,"Google Ads",1200,Paid,"Campaign Q1"
2026-02-13,Expense,Marketing,"Social media ads",600,Paid,"Meta"
2026-02-13,Expense,Marketing,"Content creation",400,Pending,"Freelancer"
2026-02-13,Expense,Personnel,"Contractor fees",2530,Paid,"Weekly payroll"
2026-02-13,Expense,Personnel,"Benefits",670,Paid,"Health insurance"
2026-02-13,Expense,Administrative,"Bank fees",35,Paid,"Transaction fees"
2026-02-13,Expense,Administrative,"Accounting software",65,Paid,"QuickBooks"
